3951;denmark/reserve-league-group-4;denmark-reserve-league-group-4;Reserve League, Group 4;DENMARK: Reserve League, Group 4;53
4448;denmark/elitedivisionen-relegation-women;denmark-elitedivisionen-relegation-women;Elitedivisionen, Relegation - Women;DENMARK: Elitedivisionen, Relegation - Women;53
4477;denmark/denmark-series-group-1;denmark-denmark-series-group-1;Denmark Series, Group 1;DENMARK: Denmark Series, Group 1;53
4478;denmark/denmark-series-group-2;denmark-denmark-series-group-2;Denmark Series, Group 2;DENMARK: Denmark Series, Group 2;53
4479;denmark/denmark-series-group-3;denmark-denmark-series-group-3;Denmark Series, Group 3;DENMARK: Denmark Series, Group 3;53
4480;denmark/denmark-series-group-4;denmark-denmark-series-group-4;Denmark Series, Group 4;DENMARK: Denmark Series, Group 4;53
4481;dominican-republic/ldf-apertura;dominican-republic-ldf-apertura;LDF, Apertura;DOMINICAN REPUBLIC: LDF, Apertura;56
4470;dr-congo/super-ligue;dr-congo-super-ligue;Super Ligue;DR CONGO: Super Ligue;45
4482;dominican-republic/ldf-clausura;dominican-republic-ldf-clausura;LDF, Clausura;DOMINICAN REPUBLIC: LDF, Clausura;56
4483;dominican-republic/ldf-final-rounds;dominican-republic-ldf-final-rounds;LDF, Final Rounds;DOMINICAN REPUBLIC: LDF, Final Rounds;56
4587;ecuador/national-cup;ecuador-national-cup;National cup;ECUADOR: National cup;57
1043;ecuador/serie-a;ecuador-serie-a;Serie A;ECUADOR: Serie A;57
1211;egypt/premier-league;egypt-premier-league;Premier League;EGYPT: Premier League;58
1304;egypt/national-cup;egypt-national-cup;National Cup;EGYPT: National Cup;58
1321;el-salvador/apertura;el-salvador-apertura;Apertura;EL SALVADOR: Apertura;59
1307;el-salvador/clausura;el-salvador-clausura;Clausura;EL SALVADOR: Clausura;59
15;england/premier-league;england-premier-league;Premier League;ENGLAND: Premier League;60
2269;el-salvador/final-stages;el-salvador-final-stages;Final Stages;EL SALVADOR: Final Stages;59
880;england/championship-playoffs;england-championship-playoffs;Championship, Playoffs;ENGLAND: Championship, Playoffs;60
115;england/fa-community-shield;england-fa-community-shield;FA Community Shield;ENGLAND: FA Community Shield;60
3115;czech-republic/1-liga-championship-round-women;czech-republic-1-liga-championship-round-women;1 Liga: Championship Round - Women;CZECH REPUBLIC: 1 Liga: Championship Round - Women;52
74;england/national-league;england-national-league;National League;ENGLAND: National League;60
75;england/league-cup;england-league-cup;League Cup;ENGLAND: League Cup;60
878;england/league-one-playoffs;england-league-one-playoffs;League One, Playoffs;ENGLAND: League One, Playoffs;60
879;england/league-two-playoffs;england-league-two-playoffs;League Two, Playoffs;ENGLAND: League Two, Playoffs;60
205;england/league-one;england-league-one;League One;ENGLAND: League One;60
989;england/national-league-playoff;england-national-league-playoff;National League, Playoff;ENGLAND: National League, Playoff;60
3069;england/national-league-south-playoff;england-national-league-south-playoff;National League South, Playoff;ENGLAND: National League South, Playoff;60
3070;england/national-league-north-playoff;england-national-league-north-playoff;National League North, Playoff;ENGLAND: National League North, Playoff;60
